"%%%%%#%%%%##%%%%%%%%%#%%%%%#%%%%%%%%%%%%","#%%%%%%%%%%%%#%%%%%%%%%%%%#%%#%#%%#%%%%%","%#%#%%%%%#%%%%%#%#%%%##%%%%%#%%%%%%%%%%%","%%%%%%%%#%%%#%%##%%%##%%%%%%%%%%#%%%%%%%","%%%#%%#%%%%%%#%#%%%#%%%%%%%%#%%%%%%#%%%%","#%%#%%%%%%%%%%%%%%%%%#%%%%%%%%%%%%#%%%%%","%%%%%%%%%%#%%%%%%%%#%%%%%%%%#%%%%%%%#%%%","%#%%%#%%%%%%%%###%%%%%%%#%%%#%%%%%%%#%%%","%#%%%%%%%%%%%%%%%%%%%%%%#%%%%%%%##%#%#%%","#%%%%%%%%%%%%%%#%#%%%%%%%#%%%%%%%%%%%%%%","","","","","","","","","",""
"%#%%%%%%%%%%%%%%%#%#%%%%#%%%%%","%%%#%#%#%%%%%%%%%%%%%%%#%%%%%%","%%%%%%%#%#%%###%%%%%%%%%%%%#%%","###%%%%%%%%%#%%##%%%%%#%%%%%%%","%%%%%#%%###%%%##%%####%#%%#%#%","%%%%%%%#%%%%%%#%%#%%#%%#%%%%#%","%%%%%%#%%#%%%%%%%%%%%#%%##%%%%","%##%%#%%%%%%%%%%%%%%%%%#%%%%%%","#%%%%%%%%%%%%%%%%%%%%%%%##%%#%","%%#%%#%%#%%%%%#%%%%%%%%%%%%%#%","","","","","","","","","",""
"%##%%%%%%%%%%%%%%%%%%%%%%%#%%%%%%#%%%%%%","#%%#####%%#%%%%%%%%##%%%%%%#%##%#%%%#%#%","%%%#%%%%%%%%%%%%#%%%%%%%%#%##%%%#%%%%#%#","%#%#%%%#%%%%##%#%%%%%%##%##%##%%%#%%%#%%","%#%%%%%#%#%##%%%%%%%%#%%%%%%%%%%%%%%%%%%","%%#%%%%%%%%%%#%%#%##%%#%%##%%%%%%%#%%%%#","%%%%%%%%%#%#%%#%%#%%%%%%%%%#%%%#%%%%%%%#","%%%%%%#%%%%%%%%%%%%%%%%%%%%%%%%%%%%#%##%","%%%%%%%%#%%%%%%%%%%%#%%%%%%%#%%%#%##%%%%","%%##%#%%%%%%%##%%%#%%%%%%#%%%%%%#%##%##%","","","","","","","","","",""
"%#%%###%###%%%#%#%%##%%%#%#%%#","%%#%#%%#####%##%%####%#%######","%%%%%#%#%%#%%#%%%%%#%%%#%%%%%%","%%%%%%%%%%%%%%%%#%%%#%%#%%%%#%","%%%%#%#%#%%%%#%%%##%#####%%#%%","%#%%%##%%%#%%#%%#%#%%#%#%%%%%%","%#%%%#%%%%%%%##%%%#%%%%%%%###%","%%%%%%#%%%%%##%%%#%##%%%%#%%%#","#%%%%#%%##%%%#%%%%%%%#%%%#%%%#","##%##########################%","","","","","","","","","",""
"%#%%%%%%%%%#%%%%%%%%#%#%%%%%%%%#%%%%%%%#","%%%%%%%%%%%%%%%%%%##%#%%%%%%%%%%%%%%#%%%","%#%%%%%%%%%#%%%%%%%%%%%%%%%%%%%%%#%%#%%%","%%%%%%%%%%#%%%#%%#%%%%%##%%%%%%%%#%%%%%%","%%%%%%%%%%%%%#%%%%#%%%%%%%%%#%%%%#%%%%%%","%%%%#%%%%%%#%#%%%%%%%%%#%%%%%%%%%%%%%%%%","%#%%%%%#%%%%%%%%%%#%%%%%%%%%%%%%%%%%##%%","%#######%##%%#%%#%%%%%%##%%%%##%%%#%#%#%","%%%%%%%%%#%%%%%#%%%%%%%#%%#%%%%%%%%%%%%#","%%%#%%%%%%##%%%%#%##%#%%%%%%%%%%%%%%%#%%","","","","","","","","","",""
"%#%%%%%##%%%%#%%%%%%%%%#%%##%%","#%%%%%%#%%%%%%%%%%%%%%%###%%%%","####%%%%#%%%#%###%%##%%%%%%%#%","%#%%#%%%%%%%%#%%#%%%%%%%%%%%%%","%%%%%%#%#%%%%%%%%#%%%%#%#%%%%#","%%%%%%%#%%#%%%%%%#%%%#%%%%#%%%","%#%%##%#%%%%#%#%%%%%%%%%%%%%%%","%#%%%%%#%%%#%#%%%%%%##%#%#%%%%","%%%%%%%%%%%%##%%%%%%%%#%%%%%%#","%%%%%%%#%%%%%%%#%%##%%%%%%##%%","","","","","","","","","",""
"%%##%#%%%%%%%%%%%#%%%%%%%%%%%%%%%%%%%%%%","%%%%#%%%%%%%%%%%%#%%#%%#%%%#%%%#%%%%%##%","%%##%#%%%%%#%%%%%%#%#%#%%%##%#%%%%#%%%%#","%#%%%%%%%%%%#%%%%%%%%#%%%%%%%%%%#%%%%%%%","%#%#%%%%%%%%#%%%%%%%%%%%#%%%%%%%%%%%%%%%","%#%%%%%%%%%%%%#%##%%%%%#%%%%%#%%%%%%%%%%","%##%%%#%#%%#%%%%%%#%###%##%%#%##%%%%%%%#","%%#%%%%%%%%%%#%%%%#%%%%%##%%%%#%%%%%%%%%","%#%%%%%%%#%#%%%%#%#%%#%%%%%%%%%#%%##%#%%","%%%%%%%%%##%%%%%%%%%%%#%%%%%%%%%%%#%%%%%","","","","","","","","","",""
"%%#%%%%%%%%%%%%##%%%%%##%%#%%%","#%#%#%%####%%##%%##%##%%##%%%%","%%%%%%#%%%%%%#%%%%%#%#%##%%%%%","#%%####%##%###%%###%%%#######%","%%%%%%%%#%%%#%#%%%%%%%%%%%%%%#","#%%#%%%%%%##%%%%%%%%%%#%%#%%%%","%#%##%#%##%%##%%%%#%%%#%%#%##%","%%%%%#%%%#%###%#%%%%%%#%%%#%%%","####%#%%#%##%###%##%%%%##%#%%#","%%%%%%%%%%#%#%%%##%%%%%%#%%%%#","","","","","","","","","",""
"%%%%%%%%%%%#%%#%%%%%%%##%%%%%%#%%%%%%%%%","#%%%%%#%%%%%%%%%%%%#%#%#%#%%##%%%%%%%%#%","%%%%%%#%#%%%#%#%%%##%%%%%%%%%%%%%%%%%%%%","%%%%%%%%%%%#%%%%%%%%%%%%%%%%##%%#%%%%%%%","%%%%#%%%%%%%#%%#%#%%%%%#%%%%%%%%%%%%%%%%","%%#%%%%#%%#%%%#%%%#%%%%%%%%%%%%%%%%%%%%%","##%##%%%%%%%%%%%%%%%%%%%%%%#%#%%%%%#%##%","#%%%%#%%####%%#%%#%#%%#%%#%%##%%%%%%#%%%","%%%%%%%%%%%%%%%%%#%%%%%%%%%%%%%%%#%%##%%","%%%%%%%%%%#%%%#%%%%%%%%%%%%%%#%%%%%%#%%%","","","","","","","","","",""
"#%##%%#%#%##%%%##%%%%#%#%%%%#%","%#%%%%%%%%%%%%%%%%%%%#%%%%#%#%","%%%%%%%#%%%%%#%%##%%%%#%%%%%%%","%%%%%%%#%%%%%%%%#%##%%%%##%%%%","%###%%%##%%%%#%%%##%#%#%%%%%%#","%#%%#%%%#%%%%###%%%%##%##%#%%%","%%%%%%#%#%%%%%%%%%%%%%#%##%%%%","%#%#%%%#%%%%%##%#%#%#%%%%####%","%#%%%%#%%%#%####%%#%#%%%%%%%##","#%%%%%%%%%%%%%%%%%%%%%%%%%%###","","","","","","","","","",""
